ASIN,UPC,Title,Category,Amazon Price (£),Sales Rank,Est. Monthly Sales,Opportunity Score,Num Sellers,Num FBA Sellers,Buy Box Owner,Avg Price (90d) (£),Price Stability,Underserved,Supplier Name,Supplier Cost (£),Shipping Cost (£),Total Cost (£),Est. Profit/Unit (£),Profit Margin (%),ROI (%),Profit Potential (£),Notes
B0FWRKSQR4,,"3pcs Violin Rosin,Natural Violin Rosin,Light Low Dust Ro/sin for Vio/lin Viola Cello Bow,Ro/sin for Vio/lin Strings and Other Instrument Accessories,String Instrument Accessories for Musicians",Musical Instruments & DJ,3.59,4088,59,14.3,1,,,4.64,0.74,No,Alibaba - Demo Alibaba Supplier,1.08,1.50,2.58,-2.60,-0.7,-1.0,-1.10,
B07CNLR16S,,"Stormshopping Guitar Pen Holder Creative Desktop Accessories Multipurpose Metal Pencil Holder For Gifts, Kids, Students, and Office Stationary",Stationery & Office Supplies,7.99,18126,32,14.3,1,,,8.40,0.76,No,,,,,,,,-0.28,
B0CZP4W28K,,ifundom Guitar Cleaner Kit Fret Floss String Cleaner Lubricant Maintenance Brush Tool for Strings Music Instruments,Musical Instruments & DJ,8.59,19200,20,14.3,2,,,8.14,0.88,No,,,,,,,,-0.07,
B0FTG3C1H5,,"Trumpet Care Kit | Musical Instrument Restoration Tool - Brass Trumpet Instrument Cleaning Kit,for Professionals, Students, Beginners, Performers, Music Players",Musical Instruments & DJ,15.19,40282,11,14.2,1,,,13.29,0.88,No,,,,,,,,1.35,
B08P67N41H,,"Redken | Leave-in Treatment, Repairs & Protects Colour-Treated Hair, Acidic Perfecting Concentrate, 150 ml",Beauty,18.99,305,959,13.9,13,,,20.50,0.90,No,,,,,,,,2.15,
B01MDTVZTZ,,"The Ordinary Niacinamide 10% + Zinc 1%, Brightening & Smoothing Serum for Blemish-Prone Skin, 30ml",Beauty,4.00,12,10857,13.8,1,,,8.96,0.15,No,,,,,,,,-1.67,
B00CAV0TRQ,,Ernie Ball Regular Slinky Nickel Wound Electric Guitar Strings 3 Pack - 10-46 Gauge,Musical Instruments & DJ,20.96,1,20000,13.8,14,,,14.67,0.87,No,,,,,,,,2.56,
B000EEJ91I,,"D'Addario EXL110-3D Nickel Wound Electric Guitar Strings, Regular Light, 10-46, 3 Sets",Musical Instruments & DJ,17.99,58,1165,13.7,13,,,11.69,0.86,No,,,,,,,,1.94,
B08TM9NHHJ,,4PCS Blackhead Removal Tool kit. Four-Piece with Storage Box for Nose Facial Care Silver,Beauty,2.70,2624,190,13.6,1,,,3.19,0.53,No,,,,,,,,-2.12,
B09W9CHBHV,,"Sanctuary Spa De-Stress Warming Body Balm, No Mineral Oil, Cruelty Free & Vegan Muscle Rub, 150ml, Purple",Beauty,11.56,1447,298,13.6,8,,,9.48,0.89,No,,,,,,,,0.59,
B07PPS1RN9,,"INIU Wireless Charger Stand, 15W Fast Charging Dock Phone Charger, Adaptive LED Wireless Charging Station for iPhone 17 16 15 14 13 12 11 Pro Max, Samsung S23 S22 S21, Google Pixel 8 7 6 etc.",Electronics & Photo,13.95,87,1755,13.5,8,,,15.54,0.86,No,,,,,,,,1.09,
B073ZPTM1F,,"Fender FT-1 Pro Clip-On Tuner Gen 1, For Electric, Acoustic & Bass Guitars & Ukuleles, Black",Musical Instruments & DJ,15.29,45,1392,13.5,6,,,9.85,0.83,No,,,,,,,,1.37,
B0G4RD5KYC,,"Guitar String Cleaner & Fingerboard Maintenance Kit - Professional Instrument Cleaning Tool for Neck, Fretboard & Strings | Music Gear Care Supplies for Guitar, Bass, Violin & Ukulele",Musical Instruments & DJ,5.99,43483,11,13.4,1,,,6.29,0.95,No,,,,,,,,-0.97,
B012GVRINM,,Ernie Ball Regular Slinky Electric Guitar Strings - includes 6 free plectrums,Musical Instruments & DJ,8.80,49,1311,13.3,5,,,6.98,0.89,No,,,,,,,,0.01,
B06XRVTYN3,,"Centrum Advance Multivitamin & Mineral Supplements, 24 essential nutrients including vitamin D, C, Calcium, Daily Multivitamin Tablets, 180ct",Health & Personal Care,16.56,580,549,13.3,12,,,17.95,0.77,No,,,,,,,,1.64,
B0002D0CQC,,GHS Fast Fret Guitar String Cleaner and Lubricant,Musical Instruments & DJ,10.87,86,884,13.1,11,,,6.03,0.79,No,,,,,,,,0.44,
B000NE3JZ6,,"D'Addario Violin Rosin - Cello Rosin - Kaplan Premium Light Rosin with Case for Violin, Viola, Cello - For Horsehair or Synthetic Bows",Musical Instruments & DJ,9.91,548,242,13.1,5,,,7.75,0.80,No,,,,,,,,0.24,
B0002PBS5Y,,Ernie Ball Earthwood Light 80/20 Bronze Acoustic Guitar Strings - 11-52 Gauge,Musical Instruments & DJ,7.04,7,5122,12.8,16,,,6.03,0.85,No,,,,,,,,-0.61,
B0D2Z3GGCY,,"medicube Deep Vitamin C Golden Capsule Face Moisturiser - Liposome Capsules For Wrinkles, Skin Radiance - Transparent Gel for Glow Hydration - Korean Skin Care 1.94 oz",Beauty,12.50,82,2568,12.8,29,,,21.40,0.68,No,,,,,,,,0.78,
